City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
130,whitehorse,60.7161,-135.0538,290.94,46,20,5.66,CA,Mon Jul 29 00:19:25 2024
131,lospalos,-8.5186,127.0025,299.35,68,59,5.75,TL,Mon Jul 29 00:19:26 2024
132,wailua homesteads,22.0669,-159.378,298.59,79,100,6.69,US,Mon Jul 29 00:16:32 2024
133,prince rupert,54.3161,-130.3201,287.2,97,100,2.06,CA,Mon Jul 29 00:19:28 2024
134,ushuaia,-54.8,-68.3,273.96,60,75,2.06,AR,Mon Jul 29 00:18:33 2024
135,reggane,26.7158,0.1714,310.34,14,16,10.29,DZ,Mon Jul 29 00:19:30 2024
136,khandyga,62.6667,135.6,295.79,39,86,3.28,RU,Mon Jul 29 00:19:31 2024
137,new norfolk,-42.7826,147.0587,283.1,44,3,0.37,AU,Mon Jul 29 00:19:32 2024
138,dudinka,69.4058,86.1778,298.6,42,66,4.61,RU,Mon Jul 29 00:19:34 2024
139,pazar,40.2765,36.2835,288.03,82,0,0.0,TR,Mon Jul 29 00:19:35 2024
140,petropavlovsk-kamchatsky,53.0452,158.6483,284.48,76,75,4.0,RU,Mon Jul 29 00:19:36 2024
141,hobyo,5.3505,48.5268,298.07,83,93,11.12,SO,Mon Jul 29 00:19:37 2024
142,ribeira grande,38.5167,-28.7,296.91,92,10,0.89,PT,Mon Jul 29 00:19:38 2024
143,kalispell,48.1958,-114.3129,294.63,41,0,2.57,US,Mon Jul 29 00:19:39 2024
144,kaitong,44.8135,123.15,303.36,54,0,4.75,CN,Mon Jul 29 00:19:40 2024
145,east london,-33.0153,27.9116,283.67,50,0,6.17,ZA,Mon Jul 29 00:19:41 2024
146,shetpe,44.1667,52.1167,295.75,53,98,1.51,KZ,Mon Jul 29 00:19:42 2024
147,ingleby greenhow,54.4498,-1.1069,287.71,81,100,1.79,GB,Mon Jul 29 00:19:43 2024
148,aurillac,44.9167,2.45,293.71,92,0,3.6,FR,Mon Jul 29 00:19:44 2024
149,saint-philippe,-21.3585,55.7679,293.92,72,5,1.82,RE,Mon Jul 29 00:19:45 2024
150,tashir,41.1207,44.2846,287.2,86,84,1.02,AM,Mon Jul 29 00:19:46 2024
151,vilyuysk,63.7553,121.6247,296.66,57,64,1.61,RU,Mon Jul 29 00:19:48 2024
152,tolanaro,-25.0319,46.9987,290.19,88,20,1.03,MG,Mon Jul 29 00:19:49 2024
153,nizhneudinsk,54.9076,99.0276,302.43,53,76,0.91,RU,Mon Jul 29 00:19:50 2024
154,longyearbyen,78.2186,15.6401,282.06,93,100,5.14,SJ,Mon Jul 29 00:19:51 2024
155,moab,38.5733,-109.5498,303.18,10,0,0.45,US,Mon Jul 29 00:19:52 2024
156,zubin potok,42.9144,20.6897,293.83,62,0,3.22,XK,Mon Jul 29 00:19:53 2024
157,seka,17.9285,103.9552,297.77,96,100,3.02,TH,Mon Jul 29 00:19:54 2024
